dish_code,dish_name,product_name,product_description,product_allergen,product_nutrient
1599698,Potage Vermicelles,Ail blanc,"""ail""",Aucun,"38.000mg Calcium,1.400mg Fer,7.000g Protides,24.500g Glucides,0.500g Lipides"
1599698,Potage Vermicelles,Carottes,"""carotte bio local""",Aucun,"32.600mg Calcium,0.310mg Fer,0.770g Protides,6.450g Glucides,0.260g Lipides,0.054g Lipides saturés"
1599698,Potage Vermicelles,Celeri,Celeri branche,"[""Celeri""]","48.400mg Calcium,0.300mg Fer,0.660g Protides,3.600g Glucides,0.190g Lipides,0.040g Lipides saturés"
1599698,Potage Vermicelles,Poireaux,"""poireaux bio local""",Aucun,"50.700mg Calcium,1.500mg Fer,1.590g Protides,4.900g Glucides,0.250g Lipides,0.050g Lipides saturés"
1599698,Potage Vermicelles,Eau,"""eau""",Aucun,Non renseigné
1599698,Potage Vermicelles,Echalote,"""échalote""",Aucun,"37.000mg Calcium,1.200mg Fer,1.840g Protides,8.350g Glucides,1.430g Lipides,0.230g Lipides saturés"
1599698,Potage Vermicelles,Gros sel,"""sel gros""",Aucun,Non renseigné
1599698,Potage Vermicelles,Huile d'olive,"""huile d'olive extra vierge""",Aucun,"14.000g Lipides saturés,100.000g Lipides"
1599698,Potage Vermicelles,Oignon jaune,"""oignon jaune""",Aucun,"0.400mg Fer,25.000mg Calcium,1.100g Protides,6.250g Glucides,0.620g Lipides,0.200g Lipides saturés"
1599698,Potage Vermicelles,Pâtes a potage Vermicelles,Semoule de ble,"[""Oeufs"",""Gluten"",""Soja"",""Moutarde""]","12.000g Protides,72.000g Glucides,2.000g Lipides,35.000g Lipides saturés"
1599698,Potage Vermicelles,Persil,"""persil""",Aucun,"218.000mg Calcium,4.670mg Fer,3.630g Protides,3.480g Glucides,0.630g Lipides,0.100g Lipides saturés"
1599698,Potage Vermicelles,Poivre gris moulu,"""poivre""",Aucun,"11.400g Protides,48.300g Glucides,2.100g Lipides,0.060g Lipides saturés"
1599698,Potage Vermicelles,Sel fin,"""sel""",Aucun,Non renseigné
1599698,Potage Vermicelles,Tomates pelées concassées,"""tomates pelées concassées""",Aucun,"0.100g Lipides,3.300g Glucides,1.100g Protides"
1599699,Filet de colin enrobé aux céréales,Plein filet de colin enrobé aux 3 céréales,"""filet de colin enrobé d'une chapelure aux 3 céréales (sarrasin, millet et lin)""","[""Poisson"",""Lait"",""Oeufs"",""Gluten"",""Soja""]","14.700g Glucides,0.500g Lipides saturés,6.000g Lipides,14.400g Protides"
1599699,Filet de colin enrobé aux céréales,Citron jaune,"""citron jaune""",Aucun,"13.700mg Calcium,0.340mg Fer,0.840g Protides,3.100g Glucides,0.700g Lipides,0.150g Lipides saturés"
1599700,Haricots verts persillés,Haricots verts, Haricots verts fins issus de l'agriculture biologique,Aucun,"2.300g Protides,5.100g Glucides,0.200g Lipides,0.010g Lipides saturés"
1599700,Haricots verts persillés,Ail blanc,"""ail""",Aucun,"38.000mg Calcium,1.400mg Fer,7.000g Protides,24.500g Glucides,0.500g Lipides"
1599700,Haricots verts persillés,Echalote,"""échalote""",Aucun,"37.000mg Calcium,1.200mg Fer,1.840g Protides,8.350g Glucides,1.430g Lipides,0.230g Lipides saturés"
1599700,Haricots verts persillés,Huile d'olive,"""huile d'olive extra vierge""",Aucun,"14.000g Lipides saturés,100.000g Lipides"
1599700,Haricots verts persillés,Oignon jaune,"""oignon jaune""",Aucun,"0.400mg Fer,25.000mg Calcium,1.100g Protides,6.250g Glucides,0.620g Lipides,0.200g Lipides saturés"
1599700,Haricots verts persillés,Persil,"""persil""",Aucun,"218.000mg Calcium,4.670mg Fer,3.630g Protides,3.480g Glucides,0.630g Lipides,0.100g Lipides saturés"
1599700,Haricots verts persillés,Poivre gris moulu,"""poivre""",Aucun,"11.400g Protides,48.300g Glucides,2.100g Lipides,0.060g Lipides saturés"
1599700,Haricots verts persillés,Sel fin,"""sel""",Aucun,Non renseigné
1599701,Crêpes,Crème sucrée sous pression,Crème sucrée liquide,"[""Lait""]","80.000mg Calcium,2.000g Protides,13.000g Glucides,32.000g Lipides,23.000g Lipides saturés"
1599701,Crêpes,Crêpe nature sucrée,"Lait, farine, sucre, oeufs  ","[""Lait"",""Oeufs"",""Gluten""]","53.880g Glucides,1.600g Lipides saturés,3.700g Lipides,6.900g Protides"
1599701,Crêpes,Pâte a tartiner noisette,"Sucre, noisettes, huiles végétales, lait, cacao","[""Fruits a coques"",""Lait"",""Arachides""]","53.000g Glucides,5.200g Lipides saturés,34.000g Protides"
1599702,Pain restaurant,pain solette 400gr,Non renseigné,"[""Gluten""]",Non renseigné
1599709,Potage Vermicelles,Ail blanc,"""ail""",Aucun,"38.000mg Calcium,1.400mg Fer,7.000g Protides,24.500g Glucides,0.500g Lipides"
1599709,Potage Vermicelles,Carottes,"""carotte bio local""",Aucun,"32.600mg Calcium,0.310mg Fer,0.770g Protides,6.450g Glucides,0.260g Lipides,0.054g Lipides saturés"
1599709,Potage Vermicelles,Celeri,Celeri branche,"[""Celeri""]","48.400mg Calcium,0.300mg Fer,0.660g Protides,3.600g Glucides,0.190g Lipides,0.040g Lipides saturés"
1599709,Potage Vermicelles,Poireaux,"""poireaux bio local""",Aucun,"50.700mg Calcium,1.500mg Fer,1.590g Protides,4.900g Glucides,0.250g Lipides,0.050g Lipides saturés"
1599709,Potage Vermicelles,Eau,"""eau""",Aucun,Non renseigné
1599709,Potage Vermicelles,Echalote,"""échalote""",Aucun,"37.000mg Calcium,1.200mg Fer,1.840g Protides,8.350g Glucides,1.430g Lipides,0.230g Lipides saturés"
1599709,Potage Vermicelles,Gros sel,"""sel gros""",Aucun,Non renseigné
1599709,Potage Vermicelles,Huile d'olive,"""huile d'olive extra vierge""",Aucun,"14.000g Lipides saturés,100.000g Lipides"
1599709,Potage Vermicelles,Oignon jaune,"""oignon jaune""",Aucun,"0.400mg Fer,25.000mg Calcium,1.100g Protides,6.250g Glucides,0.620g Lipides,0.200g Lipides saturés"
1599709,Potage Vermicelles,Pâtes a potage Vermicelles,Semoule de ble,"[""Oeufs"",""Gluten"",""Soja"",""Moutarde""]","12.000g Protides,72.000g Glucides,2.000g Lipides,35.000g Lipides saturés"
1599709,Potage Vermicelles,Persil,"""persil""",Aucun,"218.000mg Calcium,4.670mg Fer,3.630g Protides,3.480g Glucides,0.630g Lipides,0.100g Lipides saturés"
1599709,Potage Vermicelles,Poivre gris moulu,"""poivre""",Aucun,"11.400g Protides,48.300g Glucides,2.100g Lipides,0.060g Lipides saturés"
1599709,Potage Vermicelles,Sel fin,"""sel""",Aucun,Non renseigné
1599709,Potage Vermicelles,Tomates pelées concassées,"""tomates pelées concassées""",Aucun,"0.100g Lipides,3.300g Glucides,1.100g Protides"
1599710,Filet de colin enrobé aux céréales,Plein filet de colin enrobé aux 3 céréales,"""filet de colin enrobé d'une chapelure aux 3 céréales (sarrasin, millet et lin)""","[""Poisson"",""Lait"",""Oeufs"",""Gluten"",""Soja""]","14.700g Glucides,0.500g Lipides saturés,6.000g Lipides,14.400g Protides"
1599710,Filet de colin enrobé aux céréales,Citron jaune,"""citron jaune""",Aucun,"13.700mg Calcium,0.340mg Fer,0.840g Protides,3.100g Glucides,0.700g Lipides,0.150g Lipides saturés"
1599711,Haricots verts persillés,Haricots verts, Haricots verts fins issus de l'agriculture biologique,Aucun,"2.300g Protides,5.100g Glucides,0.200g Lipides,0.010g Lipides saturés"
1599711,Haricots verts persillés,Ail blanc,"""ail""",Aucun,"38.000mg Calcium,1.400mg Fer,7.000g Protides,24.500g Glucides,0.500g Lipides"
1599711,Haricots verts persillés,Echalote,"""échalote""",Aucun,"37.000mg Calcium,1.200mg Fer,1.840g Protides,8.350g Glucides,1.430g Lipides,0.230g Lipides saturés"
1599711,Haricots verts persillés,Huile d'olive,"""huile d'olive extra vierge""",Aucun,"14.000g Lipides saturés,100.000g Lipides"
1599711,Haricots verts persillés,Oignon jaune,"""oignon jaune""",Aucun,"0.400mg Fer,25.000mg Calcium,1.100g Protides,6.250g Glucides,0.620g Lipides,0.200g Lipides saturés"
1599711,Haricots verts persillés,Persil,"""persil""",Aucun,"218.000mg Calcium,4.670mg Fer,3.630g Protides,3.480g Glucides,0.630g Lipides,0.100g Lipides saturés"
1599711,Haricots verts persillés,Poivre gris moulu,"""poivre""",Aucun,"11.400g Protides,48.300g Glucides,2.100g Lipides,0.060g Lipides saturés"
1599711,Haricots verts persillés,Sel fin,"""sel""",Aucun,Non renseigné
1599712,Crêpes,Crème sucrée sous pression,Crème sucrée liquide,"[""Lait""]","80.000mg Calcium,2.000g Protides,13.000g Glucides,32.000g Lipides,23.000g Lipides saturés"
1599712,Crêpes,Crêpe nature sucrée,"Lait, farine, sucre, oeufs  ","[""Lait"",""Oeufs"",""Gluten""]","53.880g Glucides,1.600g Lipides saturés,3.700g Lipides,6.900g Protides"
1599713,Pain restaurant,pain solette 400gr,Non renseigné,"[""Gluten""]",Non renseigné
