menurestaurant_id,menurestaurant_type,meal_type,dish_type,dish_code,dish_name,dish_allergen,dish_label,dish_diet
4,Elementaire,meal,entree,1599698,Potage Vermicelles,"[""Gluten"",""Oeufs"",""Celeri"",""Soja"",""Moutarde""]",Plat fait maison,"[""Aucun regime""]"
4,Elementaire,meal,plat principal,1599699,Filet de colin enrobe aux cereales,"[""Poisson"",""Lait"",""Oeufs"",""Gluten"",""Soja""]",Plat fait maison;MSC,"[""Aucun regime""]"
4,Elementaire,meal,garniture,1599700,Haricots verts persilles,Aucun,Plat fait maison,"[""Aucun regime""]"
4,Elementaire,meal,dessert,1599701,Crepes,"[""Lait"",""Oeufs"",""Gluten"",""Fruits a coques"",""Arachides""]",Non renseigne,"[""Aucun regime""]"
4,Elementaire,meal,pain,1599702,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1599727,Puree de pommes,Aucun,Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1599728,Vache qui rit coupelle,"[""Lait""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,pain,1599729,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
4,Elementaire,meal,plat principal,1602677,Tajine d'agneau aux legumes,"[""Sulfites"",""Moutarde"",""Celeri"",""Gluten""]",Plat fait maison;bio local,"[""Aucun regime""]"
4,Elementaire,meal,garniture,1602678,Semoule au beurre,"[""Soja"",""Lait"",""Moutarde"",""Gluten""]",Plat fait maison,"[""Aucun regime""]"
4,Elementaire,meal,autre,1602679,Tomme noire des pyrenees,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
4,Elementaire,meal,dessert,1602680,Pomme,Aucun,bio local;Union Europeene,"[""Aucun regime""]"
4,Elementaire,meal,pain,1602681,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1602706,Petit suisse aux fruits,"[""Lait""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,pain,1602707,Pain restaurant et confiture fraise,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1602708, Banane,Aucun,Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,entree,1603136,Salade Arc en ciel,"[""Lait"",""Moutarde"",""Sulfites""]",Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,plat principal,1603137,Steak hache façon bouchere 10% MG,"[""Celeri"",""Gluten"",""Lait"",""Oeufs"",""Sulfites""]",Viande Bovine Française;Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,garniture,1603138,Coquillettes au beurre,"[""Lait"",""Gluten"",""Oeufs""]",Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,dessert,1603139,Yaourt à boire à la fraise,"[""Lait""]",Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,pain,1603140,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1603158,Brioche en tranches,"[""Fruits a coques"",""Soja"",""Lait"",""Oeufs"",""Gluten"",""Sesame""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1603159,Fromage blanc et confiture d'abricot,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
4,Elementaire,meal,entree,1603501,Feuillete au comte,"[""Fruits a coques"",""Poisson"",""Lait"",""Oeufs"",""Gluten"",""Mollusques"",""Moutarde"",""Crustaces"",""Celeri"",""Sesame""]",Non renseigne,"[""Aucun regime""]"
4,Elementaire,meal,plat principal,1603502,Frittata de pommes de terre et de legumes,"[""Oeufs""]",Plat fait maison,"[""Aucun regime""]"
4,Elementaire,meal,dessert,1603503,Fromage blanc nature,"[""Lait""]",Produit local et de saison,"[""Aucun regime""]"
4,Elementaire,meal,pain,1603504,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1603522,Poire,Aucun,bio local;Union Europeene,"[""Aucun regime""]"
